epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.384887,0.292857,1.392806,0.250000,1.371764,0.350000
2,1.336907,0.357143,1.381913,0.350000,1.350331,0.450000
3,1.300850,0.478571,1.373366,0.325000,1.338791,0.400000
4,1.270456,0.514286,1.363491,0.400000,1.324341,0.400000
5,1.239412,0.535714,1.354684,0.375000,1.314452,0.450000
