epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.358960,0.353571,1.277866,0.450000,1.324673,0.375000
2,1.046686,0.603571,1.198881,0.462500,1.290531,0.400000
3,0.531392,0.875000,1.261961,0.475000,1.354837,0.350000
4,0.185220,0.982143,1.153657,0.537500,1.400303,0.450000
5,0.060371,0.992857,1.142157,0.512500,1.380555,0.500000
