epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.257951,0.411168,1.109658,0.495238,1.154184,0.504717
2,1.092203,0.533559,1.062401,0.538095,1.123605,0.547170
3,1.021974,0.564580,1.041915,0.514286,1.075777,0.518868
4,0.961263,0.600113,1.088395,0.497619,1.097960,0.551887
