epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.372509,0.298928,1.226904,0.388095,1.245629,0.410377
2,1.299142,0.376763,1.248995,0.371429,1.269409,0.415094
3,1.178432,0.478849,1.250016,0.409524,1.275564,0.396226
4,0.959205,0.596729,1.254083,0.440476,1.285151,0.424528
5,0.664032,0.741681,1.134003,0.552381,1.052852,0.603774
6,0.460690,0.824027,1.413397,0.519048,1.358561,0.570755
7,0.261551,0.904117,1.803601,0.469048,1.757221,0.448113
