epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.354976,0.371429,1.288179,0.400000,1.312833,0.400000
2,1.036556,0.621429,1.188391,0.462500,1.248186,0.450000
3,0.501775,0.867857,1.198464,0.512500,1.335935,0.375000
4,0.164046,0.989286,1.183300,0.500000,1.433843,0.475000
5,0.052575,0.996429,1.134732,0.525000,1.284714,0.500000
6,0.019770,1.000000,1.220060,0.550000,1.437930,0.500000
7,0.010401,1.000000,1.241776,0.550000,1.436704,0.550000
8,0.007205,1.000000,1.260897,0.562500,1.461090,0.550000
9,0.005339,1.000000,1.305597,0.550000,1.509782,0.550000
10,0.004112,1.000000,1.325337,0.562500,1.526980,0.550000
