run_id,model_name,freeze_backbone,epochs,batch_size,learning_rate,weight_decay,frame_count,train_rows,val_rows,test_rows,best_val_epoch,best_val_accuracy,best_test_epoch,best_test_accuracy,run_dir
vision_cls_20260626_172935,resnet18,True,1,4,0.001,,,15,5,0,1,0.200000,1,,D:/dev/SKN27-FINAL-3Team/storage/vision/models/models/classification_dryrun/vision_cls_20260626_172935
videomae_cls_20260702_124642,MCG-NJU/videomae-base-finetuned-kinetics,True,5,2,0.001,0.0,16,1773,420,212,2,0.538095,4,0.551887,D:/dev/SKN27-FINAL-3Team/storage/vision/models/models/videomae_classification_clip5s/videomae_cls_20260702_124642
videomae_cls_20260702_153544,MCG-NJU/videomae-base-finetuned-kinetics,False,10,2,0.0001,0.0,16,1773,420,212,2,0.380952,3,0.367925,D:/dev/SKN27-FINAL-3Team/storage/vision/models/models/videomae_classification_clip5s/videomae_cls_20260702_153544
videomae_cls_20260702_183519,MCG-NJU/videomae-base-finetuned-kinetics,False,30,2,5e-05,0.05,16,1773,420,212,5,0.552381,5,0.603774,D:/dev/SKN27-FINAL-3Team/storage/vision/models/models/videomae_classification_clip5s/videomae_cls_20260702_183519
videomae_cls_20260712_172709,MCG-NJU/videomae-base-finetuned-kinetics,True,1,1,0.0001,0.05,16,4,0,0,1,0.000000,1,0.000000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/debug_4/videomae_cls_20260712_172709
videomae_cls_20260713_010613,MCG-NJU/videomae-base-finetuned-kinetics,True,5,1,0.0001,0.05,16,400,0,0,1,0.000000,1,0.000000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/per_label_100/videomae_cls_20260713_010613
videomae_cls_20260713_022139,MCG-NJU/videomae-base-finetuned-kinetics,True,5,1,0.0001,0.05,16,280,80,40,4,0.550000,4,0.450000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/per_label_100_exp1_freeze_lr1e-4/videomae_cls_20260713_022139
videomae_cls_20260713_033130,MCG-NJU/videomae-base-finetuned-kinetics,False,5,1,1e-05,0.05,16,280,80,40,4,0.537500,5,0.500000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/per_label_100_exp2_unfreeze_lr1e-5/videomae_cls_20260713_033130
videomae_cls_20260713_045649,MCG-NJU/videomae-base-finetuned-kinetics,False,50,1,1e-05,0.05,16,280,80,40,8,0.562500,7,0.550000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/per_label_100_exp3_unfreeze_lr1e-5_e50/videomae_cls_20260713_045649
videomae_cls_20260712_172921,MCG-NJU/videomae-base-finetuned-kinetics,True,5,1,0.0001,0.05,16,200,0,0,1,0.000000,1,0.000000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/per_label_50/videomae_cls_20260712_172921
videomae_cls_20260713_092150,MCG-NJU/videomae-base-finetuned-kinetics,True,5,1,0.0001,0.05,16,200,0,0,1,0.000000,1,0.000000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/per_label_50/videomae_cls_20260713_092150
videomae_cls_20260713_112125,MCG-NJU/videomae-base-finetuned-kinetics,True,5,1,0.0001,0.05,16,140,40,20,4,0.400000,2,0.450000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/per_label_50_exp1_freeze_lr1e-4/videomae_cls_20260713_112125
videomae_cls_20260713_140919,MCG-NJU/videomae-base-finetuned-kinetics,True,5,1,0.0001,0.05,16,140,40,20,4,0.400000,2,0.450000,D:/dev/SKN27-FINAL-3Team/storage/vision/models/videomae_raw_video/per_label_50_exp1_freeze_lr1e-4/videomae_cls_20260713_140919
