epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.372621,0.314286,1.334543,0.387500,1.353748,0.250000
2,1.318312,0.417857,1.298662,0.475000,1.329876,0.375000
3,1.275011,0.460714,1.271629,0.512500,1.311614,0.350000
4,1.234801,0.510714,1.249011,0.550000,1.292678,0.450000
5,1.202008,0.560714,1.232561,0.500000,1.280720,0.375000
