epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.309471,0.367857,1.171402,0.505556,,
2,0.905632,0.671429,1.058134,0.572222,,
3,0.355555,0.909524,1.200389,0.588889,0.944394,0.644444
