epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.309713,0.389286,1.238601,0.416667,1.158565,0.516667
2,0.862963,0.696429,1.139190,0.500000,1.040772,0.550000
3,0.346273,0.942857,0.920440,0.666667,0.881587,0.666667
4,0.078030,1.000000,0.916158,0.566667,0.891065,0.683333
5,0.021858,1.000000,0.899558,0.583333,0.922729,0.650000
6,0.012592,1.000000,0.941346,0.583333,0.937241,0.633333
