epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.388905,0.279188,1.265986,0.354762,1.288901,0.320755
2,1.375545,0.309081,1.277420,0.380952,1.308387,0.353774
3,1.366477,0.307953,1.305880,0.369048,1.323143,0.367925
4,1.359884,0.324309,1.377364,0.278571,1.405012,0.264151
